% 1. Title: TCC 

@RELATION penalty_kicks

@ATTRIBUTE distancia_apoio 		REAL
@ATTRIBUTE inclinacao_perna		REAL
@ATTRIBUTE distancia_ombros		REAL
@ATTRIBUTE angulo_ombros		REAL
@ATTRIBUTE class 				{esquerda,direita,meio}

@DATA
66.611,68.039,43.174,13.392,esq
47.539,67.714,54.148,4.236,dir
49.497,66.318,42.755,10.784,esq
56.719,68.703,46.098,12.529,esq
63.953,74.521,46.174,17.65,dir
64.63,69.027,39.294,14.744,esq
53.6,65.943,49.497,8.13,dir
47.434,68.199,47.17,4.865,dir
69.426,76.171,44.385,22.521,dir
72.691,69.55,41.11,18.435,dir
44.147,68.552,45.044,2.545,esq
72.007,72.15,48.847,22.891,dir
56.321,66.915,40.311,7.125,esq
81.884,71.565,47.17,21.125,esq
68.884,76.809,50.289,17.354,dir
53.935,73.465,41.437,8.326,esq
57.489,72.962,47.17,4.865,dir
46.325,71.03,40.05,2.862,esq
61,72.759,32.894,19.537,esq
54.589,66.571,40.262,14.381,esq
65.49,63.435,48.765,28.142,dir
56.886,66.425,43.966,17.199,dir
39.115,66.425,41.11,4.185,esq
51.662,69.444,46.39,7.431,dir
49.244,69.228,45.398,7.595,esq
55.731,65.854,40.012,1.432,esq
58.549,67.036,38.079,13.671,esq
60.415,63.435,50.01,11.535,dir
